28-04-2018 22.50, 1
28-04-2018 22.51, 74
28-04-2018 22.54, 69
28-04-2018 22.55, 58
28-04-2018 22.56, 13
28-04-2018 23.05, 5
28-04-2018 23.08, 9
28-04-2018 23.10, 98
28-04-2018 23.11, 1
28-04-2018 23.12, 1
29-04-2018 00.13, 0
29-04-2018 00.15, 101
29-04-2018 01.22, 26
29-04-2018 12.06, 10
29-04-2018 12.06, 12
29-04-2018 12.06, 0
29-04-2018 12.08, 96
29-04-2018 12.30, 1
29-04-2018 12.30, 37
29-04-2018 12.31, 2
29-04-2018 12.35, 3
29-04-2018 12.42, 3
29-04-2018 12.45, 95
29-04-2018 12.50, 158
29-04-2018 12.52, 69
29-04-2018 13.02, 153
29-04-2018 13.46, 208
29-04-2018 13.47, 2
29-04-2018 13.48, 41
29-04-2018 13.49, 25
29-04-2018 13.51, 66
29-04-2018 13.53, 106
29-04-2018 13.53, 5
29-04-2018 14.19, 168
29-04-2018 14.21, 90
29-04-2018 14.22, 1
29-04-2018 14.23, 59
29-04-2018 14.38, 24
29-04-2018 14.55, 286
29-04-2018 15.04, 3
29-04-2018 15.07, 0
29-04-2018 15.07, 2
29-04-2018 15.15, 108
29-04-2018 15.45, 158
29-04-2018 15.45, 3
29-04-2018 16.19, 1988
29-04-2018 16.21, 100
29-04-2018 16.22, 16
29-04-2018 16.27, 104
29-04-2018 16.31, 136
29-04-2018 16.50, 3
29-04-2018 16.51, 1
29-04-2018 17.11, 10
29-04-2018 17.12, 1
29-04-2018 17.12, 40
29-04-2018 17.14, 40
29-04-2018 17.26, 281
29-04-2018 17.26, 0
29-04-2018 17.26, 1
29-04-2018 17.28, 98
29-04-2018 17.28, 25
29-04-2018 17.29, 4
29-04-2018 17.29, 0
29-04-2018 17.29, 29
29-04-2018 17.41, 591
29-04-2018 17.41, 16
29-04-2018 17.46, 181
29-04-2018 17.46, 3
29-04-2018 17.47, 31
29-04-2018 17.48, 10
29-04-2018 17.48, 3
29-04-2018 17.49, 6
29-04-2018 17.56, 47
29-04-2018 17.56, 10
29-04-2018 17.57, 0
29-04-2018 18.00, 165
29-04-2018 18.14, 1
29-04-2018 18.17, 22
29-04-2018 18.26, 2
29-04-2018 18.29, 1
29-04-2018 18.32, 2
29-04-2018 18.32, 18
29-04-2018 18.33, 3
29-04-2018 18.33, 1
29-04-2018 18.39, 4
29-04-2018 18.56, 131
29-04-2018 18.57, 91
29-04-2018 18.58, 19
29-04-2018 18.58, 24
29-04-2018 19.00, 34
29-04-2018 19.01, 2
29-04-2018 19.04, 0
29-04-2018 19.04, 2
29-04-2018 19.43, 50
29-04-2018 20.15, 83
29-04-2018 20.21, 30
29-04-2018 20.39, 2
29-04-2018 20.41, 2
29-04-2018 21.00, 1
29-04-2018 21.03, 195
29-04-2018 21.11, 3
29-04-2018 21.12, 1
29-04-2018 21.14, 2
29-04-2018 21.16, 3
29-04-2018 21.28, 4
29-04-2018 21.35, 2
29-04-2018 21.38, 2
29-04-2018 21.39, 3
29-04-2018 21.45, 3
29-04-2018 21.46, 2
29-04-2018 21.48, 0
29-04-2018 22.01, 11
29-04-2018 22.01, 1
29-04-2018 22.08, 2
29-04-2018 22.10, 1
29-04-2018 22.11, 3
29-04-2018 22.25, 56
29-04-2018 22.25, 2
29-04-2018 22.30, 4
29-04-2018 22.35, 293
29-04-2018 22.37, 17
29-04-2018 22.38, 10
29-04-2018 22.38, 17
29-04-2018 23.16, 2
29-04-2018 23.36, 4
30-04-2018 00.21, 2
30-04-2018 00.30, 25
30-04-2018 00.45, 864
30-04-2018 00.59, 790
30-04-2018 07.30, 33
30-04-2018 07.40, 29
30-04-2018 07.45, 29
30-04-2018 07.50, 31
30-04-2018 07.55, 18
30-04-2018 08.00, 17
30-04-2018 08.28, 1400
30-04-2018 08.34, 5
30-04-2018 09.48, 25
30-04-2018 09.49, 9
30-04-2018 09.55, 7
30-04-2018 10.08, 15
30-04-2018 10.13, 3
30-04-2018 10.20, 43
30-04-2018 10.29, 15
30-04-2018 10.40, 656
30-04-2018 10.44, 78
30-04-2018 10.44, 4
30-04-2018 10.59, 2
30-04-2018 11.26, 22
30-04-2018 12.07, 17
30-04-2018 12.09, 1
30-04-2018 12.19, 3
30-04-2018 12.26, 2
30-04-2018 12.40, 17
30-04-2018 12.57, 10
30-04-2018 13.02, 2
30-04-2018 13.21, 3
30-04-2018 13.44, 2
30-04-2018 13.49, 2
30-04-2018 14.07, 3
30-04-2018 14.13, 0
30-04-2018 14.23, 575
30-04-2018 14.23, 21
30-04-2018 14.31, 93
30-04-2018 14.48, 901
30-04-2018 15.09, 2
30-04-2018 15.09, 2
30-04-2018 15.29, 14
30-04-2018 15.32, 2
30-04-2018 15.35, 2
30-04-2018 15.53, 1
30-04-2018 16.37, 4
30-04-2018 16.37, 2
30-04-2018 16.51, 212
30-04-2018 17.20, 20
30-04-2018 17.48, 1
30-04-2018 17.48, 2
30-04-2018 17.50, 2
30-04-2018 17.51, 3
30-04-2018 17.53, 0
30-04-2018 17.54, 1
30-04-2018 17.54, 0
30-04-2018 17.54, 1
30-04-2018 17.54, 0
30-04-2018 17.54, 0
30-04-2018 17.54, 0
30-04-2018 17.54, 0
30-04-2018 17.54, 1
30-04-2018 17.54, 1
30-04-2018 17.54, 1
30-04-2018 17.54, 0
30-04-2018 17.54, 0
30-04-2018 17.54, 0
30-04-2018 17.54, 0
30-04-2018 17.56, 1
30-04-2018 17.56, 2
30-04-2018 17.57, 3
30-04-2018 18.02, 2
30-04-2018 18.21, 54
30-04-2018 18.24, 30
30-04-2018 18.29, 3
30-04-2018 18.54, 14
30-04-2018 18.57, 30
30-04-2018 18.57, 6
30-04-2018 19.09, 12
30-04-2018 19.17, 3
30-04-2018 20.29, 16
30-04-2018 21.09, 46
30-04-2018 21.21, 52
30-04-2018 21.28, 44
30-04-2018 21.29, 31
30-04-2018 21.32, 115
30-04-2018 21.34, 14
30-04-2018 21.58, 85
30-04-2018 22.43, 26
30-04-2018 22.51, 394
30-04-2018 23.04, 777
30-04-2018 23.08, 211
30-04-2018 23.09, 12
30-04-2018 23.18, 500
30-04-2018 23.22, 141
30-04-2018 23.35, 329
30-04-2018 23.38, 16
30-04-2018 23.39, 30
30-04-2018 23.41, 30
30-04-2018 23.51, 36
30-04-2018 23.56, 14
30-04-2018 23.58, 52
30-04-2018 23.59, 29
01-05-2018 00.05, 40
01-05-2018 00.07, 2
01-05-2018 00.10, 10
01-05-2018 00.16, 67
01-05-2018 00.21, 35
01-05-2018 00.31, 149
01-05-2018 00.56, 2
01-05-2018 00.57, 1
01-05-2018 01.21, 663
01-05-2018 07.30, 32
01-05-2018 07.40, 27
01-05-2018 07.45, 27
01-05-2018 07.50, 24
01-05-2018 07.55, 20
01-05-2018 08.00, 22
01-05-2018 08.05, 21
01-05-2018 08.10, 22
01-05-2018 08.15, 17
01-05-2018 08.25, 20
01-05-2018 08.30, 0
01-05-2018 09.03, 1998
01-05-2018 09.05, 10
01-05-2018 09.07, 1
01-05-2018 09.11, 5
01-05-2018 09.11, 3
01-05-2018 09.22, 189
01-05-2018 09.25, 36
01-05-2018 09.27, 17
01-05-2018 10.00, 1995
01-05-2018 10.27, 1606
01-05-2018 10.33, 348
01-05-2018 10.42, 440
01-05-2018 10.48, 30
01-05-2018 10.50, 17
01-05-2018 10.52, 36
01-05-2018 10.52, 17
01-05-2018 10.55, 28
01-05-2018 10.59, 61
01-05-2018 11.08, 0
01-05-2018 11.08, 9
01-05-2018 11.08, 1
01-05-2018 11.08, 1
01-05-2018 11.10, 4
01-05-2018 11.11, 5
01-05-2018 11.39, 589
01-05-2018 11.44, 219
01-05-2018 12.02, 107
01-05-2018 12.07, 30
01-05-2018 12.11, 216
01-05-2018 12.26, 24
01-05-2018 12.40, 4
01-05-2018 12.40, 2
01-05-2018 12.42, 9
01-05-2018 13.00, 3
01-05-2018 13.14, 36
01-05-2018 13.15, 26
01-05-2018 13.26, 12
01-05-2018 13.29, 109
01-05-2018 13.30, 60
01-05-2018 13.31, 76
01-05-2018 13.35, 108
01-05-2018 13.36, 61
01-05-2018 13.38, 60
01-05-2018 13.40, 44
01-05-2018 13.49, 2
01-05-2018 13.56, 1
01-05-2018 14.07, 2
01-05-2018 14.10, 6
01-05-2018 14.11, 28
01-05-2018 14.19, 2
01-05-2018 14.46, 12
01-05-2018 14.55, 51
01-05-2018 14.58, 22
01-05-2018 15.36, 44
01-05-2018 15.39, 6
01-05-2018 15.42, 16
01-05-2018 15.42, 2
01-05-2018 15.50, 5
01-05-2018 15.50, 10
01-05-2018 16.01, 2
01-05-2018 16.09, 2
01-05-2018 16.10, 4
01-05-2018 16.11, 28
01-05-2018 16.11, 2
01-05-2018 16.11, 6
01-05-2018 16.20, 36
01-05-2018 16.21, 15
01-05-2018 16.36, 12
01-05-2018 16.41, 17
01-05-2018 16.45, 10
01-05-2018 17.10, 82
01-05-2018 17.27, 1
01-05-2018 17.27, 5
01-05-2018 17.51, 4
01-05-2018 18.57, 16
01-05-2018 19.00, 21
01-05-2018 19.02, 12
01-05-2018 19.03, 10
01-05-2018 19.31, 2
01-05-2018 19.31, 1
01-05-2018 19.33, 5
01-05-2018 19.44, 8
01-05-2018 20.09, 1
01-05-2018 20.16, 27
01-05-2018 20.16, 11
01-05-2018 20.43, 13
01-05-2018 21.03, 30
01-05-2018 21.07, 5
01-05-2018 21.13, 16
01-05-2018 21.29, 0
01-05-2018 21.29, 18
01-05-2018 21.43, 4
01-05-2018 21.50, 61
01-05-2018 22.41, 10
01-05-2018 23.13, 3
01-05-2018 23.18, 3
01-05-2018 23.29, 23
01-05-2018 23.35, 15
01-05-2018 23.37, 10
01-05-2018 23.42, 37
01-05-2018 23.44, 27
01-05-2018 23.50, 5
02-05-2018 00.04, 154
02-05-2018 00.12, 1
02-05-2018 00.12, 1
02-05-2018 00.12, 16
02-05-2018 00.19, 0
02-05-2018 00.21, 16
02-05-2018 00.36, 48
02-05-2018 00.36, 0
02-05-2018 00.37, 11
02-05-2018 00.53, 0
02-05-2018 00.53, 1
02-05-2018 00.56, 1
02-05-2018 00.56, 1
02-05-2018 01.01, 6
02-05-2018 01.23, 855
02-05-2018 07.30, 39
02-05-2018 07.40, 35
02-05-2018 07.45, 27
02-05-2018 07.50, 30
02-05-2018 07.55, 45
02-05-2018 08.10, 879
02-05-2018 08.10, 1
02-05-2018 08.10, 0
02-05-2018 08.10, 1
02-05-2018 08.10, 6
02-05-2018 08.18, 489
02-05-2018 08.27, 144
02-05-2018 09.03, 6
02-05-2018 09.08, 14
02-05-2018 09.09, 12
02-05-2018 09.21, 8
02-05-2018 09.39, 25
02-05-2018 09.45, 8
02-05-2018 09.48, 0
02-05-2018 09.49, 0
02-05-2018 09.52, 3
02-05-2018 09.55, 69
02-05-2018 10.06, 92
02-05-2018 10.07, 61
02-05-2018 10.12, 27
02-05-2018 10.29, 1
02-05-2018 10.29, 9
02-05-2018 10.47, 29
02-05-2018 10.53, 45
02-05-2018 11.40, 78
02-05-2018 11.52, 2
02-05-2018 12.01, 472
02-05-2018 13.24, 4
02-05-2018 13.43, 10
02-05-2018 14.01, 2
02-05-2018 14.10, 37
02-05-2018 14.11, 33
02-05-2018 14.40, 17
02-05-2018 14.40, 10
02-05-2018 14.41, 29
02-05-2018 14.42, 2
02-05-2018 14.45, 64
02-05-2018 14.53, 31
